+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
|        196 |     16 |        NULL |       10 |
|        196 |     22 |        NULL |       16 |
|        196 |     24 |        NULL |       32 |
|        196 |     27 |        NULL |       18 |
|        196 |     28 |        NULL |        5 |
|        196 |     29 |        NULL |       13 |
|        196 |     32 |        NULL |       12 |
|        196 |     33 |        NULL |        7 |
|        196 |     34 |        NULL |       20 |
|        196 |     36 |        NULL |        6 |
|        196 |     43 |        NULL |        2 |
|        196 |     44 |        NULL |        4 |
|        196 |     46 |        NULL |       28 |
|        196 |     57 |        NULL |       14 |
|        196 |     67 |        NULL |       21 |
|        196 |     74 |        NULL |       27 |
|        196 |     77 |        NULL |       30 |
|        196 |     81 |        NULL |       25 |
|        196 |     82 |        NULL |       11 |
|        196 |     93 |        NULL |       31 |
|        196 |     98 |        NULL |       26 |
|        196 |    106 |        NULL |        3 |
|        196 |    124 |        NULL |       17 |
|        196 |    141 |        NULL |       23 |
|        196 |    155 |        NULL |       22 |
|        215 |      2 |        NULL |       46 |
|        215 |      4 |        NULL |        9 |
|        215 |      5 |        NULL |        4 |
|        215 |      6 |        NULL |       21 |
|        215 |     11 |        NULL |       25 |
|        215 |     12 |        NULL |       19 |
|        215 |     14 |        NULL |       12 |
|        215 |     16 |        NULL |       11 |
|        215 |     17 |        NULL |       36 |
|        215 |     18 |        NULL |       50 |
|        215 |     19 |        NULL |       31 |
|        215 |     22 |        NULL |        2 |
|        215 |     24 |        NULL |        1 |
|        215 |     30 |        NULL |       37 |
|        215 |     31 |        NULL |       15 |
|        215 |     32 |        NULL |       10 |
|        215 |     34 |        NULL |        6 |
|        215 |     35 |        NULL |       26 |
|        215 |     36 |        NULL |        7 |
|        215 |     38 |        NULL |       61 |
|        215 |     43 |        NULL |       30 |
|        215 |     44 |        NULL |       22 |
|        215 |     46 |        NULL |       32 |
|        215 |     57 |        NULL |        8 |
|        215 |     65 |        NULL |       18 |
|        215 |     66 |        NULL |       51 |
|        215 |     67 |        NULL |       20 |
|        215 |     69 |        NULL |       58 |
|        215 |     77 |        NULL |        3 |
|        215 |     81 |        NULL |       39 |
