+---------------+-----------------------------------------------------------------------------------+--------+-------+
| tournament_id | name                                                                              | region | major |
|          3230 | ZOTAC Cup Europe #117                                                             | NULL   | 0     |
|          3231 | ZOTAC Cup Europe #118                                                             | NULL   | 0     |
|          3232 | ZOTAC Cup Europe #119                                                             | NULL   | 0     |
|          3233 | ZOTAC Cup Europe #120                                                             | NULL   | 0     |
|          3234 | ZOTAC Cup Europe #121                                                             | NULL   | 0     |
|          3235 | ZOTAC Cup Europe #122                                                             | NULL   | 0     |
|          3236 | ZOTAC Cup Europe #123                                                             | NULL   | 0     |
|          3237 | ZOTAC Cup Europe #124                                                             | NULL   | 0     |
|          3238 | ZOTAC Cup Europe #125                                                             | NULL   | 0     |
|          3239 | ZOTAC Cup Europe #126                                                             | NULL   | 0     |
|          3240 | ZOTAC Cup Europe #127                                                             | NULL   | 0     |
|          3241 | ZOTAC Cup Europe #128                                                             | NULL   | 0     |
|          3242 | ZOTAC Cup Europe #129                                                             | NULL   | 0     |
|          3243 | ZOTAC Cup Europe #130                                                             | NULL   | 0     |
|          3244 | ZOTAC Cup Europe #131                                                             | NULL   | 0     |
|          3245 | ZOTAC Cup Europe #132                                                             | NULL   | 0     |
|          3246 | ZOTAC Cup Europe #133                                                             | NULL   | 0     |
|          3247 | ZOTAC Cup Europe #134                                                             | NULL   | 0     |
