+--------+------+------------+------------+
| player | team | start_date | end_date   |
|    192 |   78 | 2011-10-31 | 2012-03-23 |
|    192 |   34 | 2012-07-18 | NULL       |
|    193 |   45 | 2011-05-03 | NULL       |
|    194 |   15 | 2000-06-19 | 2013-09-17 |
|    195 |   81 | 2010-10-06 | 2011-02-15 |
|    195 |    7 | 2011-02-25 | 2011-07-26 |
|    195 |    7 | 2012-05-21 | NULL       |
|    196 |   27 | 2012-09-30 | NULL       |
|    197 |   12 | 2000-10-10 | 2013-09-09 |
|    198 |   88 | 2010-10-27 | 2011-07-18 |
|    198 |    4 | 2011-07-18 | 2013-01-31 |
|    199 |   19 | 2011-01-01 | NULL       |
|    200 |   33 | 2010-08-27 | 2012-10-24 |
|    200 |   33 | 2013-07-23 | NULL       |
|    201 |   37 | 2011-06-15 | 2012-12-17 |
|    203 |    8 | 2011-03-07 | 2013-07-31 |
|    203 |    4 | 2013-07-31 | NULL       |
|    204 |   27 | 2011-03-27 | 2011-10-02 |
|    204 |  153 | 2013-05-23 | NULL       |
|    205 |    7 | 2011-04-19 | 2011-07-26 |
|    205 |   86 | 2011-07-26 | 2011-12-02 |
|    206 |    1 | 2010-11-21 | 2012-06-26 |
|    207 |    2 | 2011-01-15 | 2013-03-26 |
|    208 |   69 | 2010-02-08 | 2010-09-08 |
|    208 |   18 | 2010-09-08 | NULL       |
|    209 |   37 | 2011-06-15 | 2013-02-02 |
|    209 |   64 | 2013-02-02 | NULL       |
|    210 |   33 | 2012-11-19 | NULL       |
|    211 |   80 | 2010-11-15 | 2012-04-01 |
|    211 |   91 | 2012-04-01 | 2012-12-12 |
|    212 |   26 | 2011-07-19 | 2012-02-18 |
|    213 |   64 | 2012-01-30 | 2012-12-21 |
|    213 |   37 | 2012-12-21 | 2013-02-02 |
|    213 |   64 | 2013-02-02 | 2013-08-14 |
|    214 |   34 | 2012-07-02 | NULL       |
|    215 |   47 | 2012-03-25 | 2012-11-03 |
|    215 |   20 | 2013-03-19 | 2013-06-29 |
|    217 |   56 | 2012-06-01 | NULL       |
|    218 |    7 | 2011-04-30 | 2012-01-18 |
|    219 |   84 | 2005-06-20 | 2012-05-05 |
|    219 |   64 | 2012-05-05 | 2012-12-04 |
|    219 |   22 | 2013-02-14 | 2013-07-17 |
|    219 |   39 | 2013-09-06 | NULL       |
|    220 |   81 | 2010-05-21 | 2012-05-15 |
|    220 |   14 | 2013-07-18 | NULL       |
|    221 |   39 | 2010-03-28 | NULL       |
|    221 |   76 | 2011-05-10 | 2011-09-15 |
|    221 |   37 | 2011-09-22 | 2012-05-07 |
|    222 |   20 | 2010-04-15 | NULL       |
|    223 |   16 | 2011-03-18 | 2011-06-24 |
|    223 |    1 | 2011-07-11 | 2012-03-05 |
|    224 |   33 | 2008-11-03 | 2012-03-01 |
|    224 |   33 | 2012-03-26 | 2012-08-02 |
|    224 |   91 | 2012-08-02 | 2012-12-12 |
|    224 |   89 | 2013-03-16 | NULL       |
|    225 |    3 | 2010-12-19 | 2012-01-04 |
|    225 |   78 | 2012-01-04 | 2012-03-23 |
|    226 |   30 | 2010-02-26 | 2013-07-16 |
|    227 |   68 | 2010-07-17 | 2011-08-04 |
|    227 |   24 | 2011-08-14 | 2013-01-13 |
|    228 |   22 | 2012-06-27 | 2013-05-30 |
|    229 |    4 | 2011-07-31 | 2012-09-23 |
|    230 |  132 | 2012-12-03 | 2013-05-11 |
|    231 |   69 | 2010-04-21 | NULL       |
|    233 |    9 | 2000-10-17 | NULL       |
|    234 |   86 | 2011-03-29 | 2011-12-02 |
|    235 |   39 | 2010-06-27 | 2011-06-11 |
|    235 |   77 | 2011-06-15 | 2012-02-17 |
|    235 |   39 | 2012-05-15 | NULL       |
|    236 |   88 | 2010-10-31 | 2011-07-18 |
|    236 |    4 | 2011-07-18 | NULL       |
|    237 |   59 | 2011-01-11 | 2011-08-02 |
|    237 |   48 | 2011-09-07 | 2011-11-29 |
|    237 |   32 | 2011-11-30 | 2012-12-31 |
|    237 |  111 | 2013-01-09 | 2013-05-23 |
|    237 |  156 | 2013-06-20 | NULL       |
|    238 |  116 | 2011-05-23 | 2011-08-02 |
|    238 |  151 | 2013-05-07 | NULL       |
|    239 |   11 | 2011-04-20 | NULL       |
|    240 |   30 | 2011-08-02 | 2011-11-23 |
|    240 |   32 | 2012-02-25 | 2012-10-10 |
|    240 |   30 | 2013-01-08 | 2013-08-12 |
|    241 |   31 | 2011-02-02 | 2012-07-03 |
|    241 |  156 | 2012-07-03 | 2013-07-22 |
|    242 |   56 | 2010-10-14 | NULL       |
|    243 |   38 | 2010-08-15 | 2010-10-16 |
|    243 |   39 | 2010-10-26 | 2011-06-11 |
|    243 |   39 | 2013-01-16 | NULL       |
|    244 |   40 | 2010-03-13 | 2012-01-18 |
|    244 |   77 | 2012-01-18 | 2012-02-17 |
|    244 |   55 | 2012-03-12 | NULL       |
|    245 |   84 | 2005-01-11 | 2012-05-05 |
|    245 |   64 | 2012-05-05 | 2012-12-04 |
|    245 |   39 | 2013-08-10 | NULL       |
|    246 |  150 | 2013-02-24 | NULL       |
|    247 |   65 | 2010-12-08 | 2012-07-13 |
|    247 |    1 | 2012-07-13 | NULL       |
|    248 |    9 | 2000-07-03 | NULL       |
|    249 |   41 | 2011-11-10 | NULL       |
|    250 |   19 | 2010-11-23 | 2012-12-10 |
|    250 |  135 | 2013-03-01 | NULL       |
|    251 |   39 | 2010-04-12 | NULL       |
|    252 |   31 | 2010-12-16 | NULL       |
|    254 |    8 | 2011-07-09 | 2012-08-13 |
|    256 |   55 | 2010-09-03 | NULL       |
|    257 |  107 | 2012-06-01 | 2012-12-27 |
|    258 |   22 | 2011-11-06 | NULL       |
|    259 |   81 | 2010-08-28 | 2012-05-15 |
|    259 |   14 | 2012-06-02 | NULL       |
|    260 |  145 | 2012-04-03 | 2012-07-12 |
|    261 |   39 | 2010-03-27 | 2011-03-25 |
|    261 |  131 | 2011-03-25 | 2011-12-01 |
|    261 |   38 | 2011-12-01 | NULL       |
|    262 |   22 | 2010-04-19 | 2010-07-02 |
|    262 |   18 | 2010-07-02 | 2012-09-20 |
|    264 |   10 | 2000-11-07 | NULL       |
|    265 |   38 | 2011-01-27 | 2011-10-03 |
|    265 |   59 | 2012-04-02 | NULL       |
|    266 |   39 | 2010-04-05 | 2011-06-12 |
|    266 |   38 | 2011-06-12 | 2011-07-03 |
|    266 |   84 | 2011-07-03 | 2012-05-05 |
|    266 |   64 | 2012-05-05 | 2012-12-04 |
|    266 |   39 | 2012-12-08 | NULL       |
|    267 |  133 | 2010-07-11 | 2012-03-21 |
|    267 |   91 | 2012-03-21 | 2012-10-28 |
|    267 |   19 | 2012-10-28 | NULL       |
|    270 |   45 | 2011-04-09 | 2011-06-15 |
|    270 |   24 | 2011-06-15 | 2013-01-01 |
|    270 |  128 | 2013-01-21 | NULL       |
|    271 |   18 | 2010-03-29 | 2012-08-07 |
|    272 |   46 | 2012-01-07 | 2013-03-08 |
|    272 |   55 | 2013-05-27 | NULL       |
|    273 |   33 | 2011-11-11 | NULL       |
|    273 |  125 | 2012-05-04 | 2012-11-11 |
|    274 |   78 | 2011-08-10 | 2012-01-10 |
|    274 |   78 | 2012-02-03 | 2012-03-08 |
|    274 |   32 | 2012-04-29 | 2012-05-08 |
|    274 |  156 | 2012-08-05 | 2012-09-05 |
|    274 |  130 | 2013-01-29 | NULL       |
|    276 |   41 | 2011-09-10 | NULL       |
|    277 |    2 | 2010-11-29 | NULL       |
|    279 |   14 | 2000-06-25 | NULL       |
